City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
419,gizo,-8.103,156.8419,27.88,76,97,2.28,SB,2023-01-24 05:53:24
420,mildura,-34.2,142.15,30.6,46,58,5.03,AU,2023-01-24 05:51:15
421,along,28.1667,94.7667,23.53,30,99,0.65,IN,2023-01-24 05:53:24
422,matagami,49.7502,-77.6328,-3.94,93,100,4.12,CA,2023-01-24 05:53:24
423,santa rosa,14.3122,121.1114,31.99,64,94,6.12,PH,2023-01-24 05:53:25
424,palmer,42.1584,-72.3287,0.26,81,100,6.17,US,2023-01-24 05:53:25
425,ponta delgada,37.7333,-25.6667,14.4,82,75,5.66,PT,2023-01-24 05:53:25
426,stornoway,58.2093,-6.3865,9.98,94,100,7.72,GB,2023-01-24 05:53:26
427,rafai,4.95,23.9167,23.15,32,92,1.14,CF,2023-01-24 05:53:26
428,alamogordo,32.8995,-105.9603,3.92,78,100,3.09,US,2023-01-24 05:53:26
429,marsa matruh,31.3525,27.2453,17.11,63,0,3.09,EG,2023-01-24 05:53:27
430,sedhiou,12.7081,-15.5569,18.28,74,15,1.55,SN,2023-01-24 05:50:32
431,mwinilunga,-11.7358,24.4293,18.15,90,99,2.75,ZM,2023-01-24 05:53:27
432,laguna,38.421,-121.4238,8.95,78,0,0.89,US,2023-01-24 05:53:27
433,jutai,-5.1833,-68.9,22.13,100,100,1.11,BR,2023-01-24 05:53:28
434,yerbogachen,61.2767,108.0108,-31.43,89,74,0.52,RU,2023-01-24 05:53:28
435,bethlehem,-1.4558,-48.5044,25.02,88,0,2.57,BR,2023-01-24 05:49:34
436,nikel,69.4128,30.222,-2.9,77,32,9.86,RU,2023-01-24 05:53:28
437,usinsk,65.9939,57.5281,-12.02,91,59,8.68,RU,2023-01-24 05:53:28
438,muros,42.7762,-9.0603,8.38,74,1,6.12,ES,2023-01-24 05:53:29
439,kristiansund,63.1115,7.732,8.36,81,75,3.6,NO,2023-01-24 05:53:29
440,ancud,-41.8697,-73.8203,11.76,85,70,4.23,CL,2023-01-24 05:53:29
441,antsohihy,-14.8796,47.9875,24.87,88,96,3.98,MG,2023-01-24 05:53:30
442,caldas da rainha,39.4033,-9.1384,4.92,75,0,2.68,PT,2023-01-24 05:53:30
443,bridgewater,44.3835,-64.5155,-0.16,95,100,12.35,CA,2023-01-24 05:53:30
444,qiyang,26.5911,111.8474,9.06,17,10,7.41,CN,2023-01-24 05:53:31
445,inhambane,-23.865,35.3833,26.99,74,40,0.0,MZ,2023-01-24 05:53:31
446,khandbari,27.3747,87.2039,20.66,31,14,2.16,NP,2023-01-24 05:53:31
447,nizwa,22.9333,57.5333,16.36,66,88,0.91,OM,2023-01-24 05:53:31
448,mecca,21.4267,39.8261,23.13,66,0,1.12,SA,2023-01-24 05:53:32
449,lubango,-14.9172,13.4925,14.92,93,97,1.14,AO,2023-01-24 05:53:32
450,altay,47.8667,88.1167,-14.54,64,100,1.22,CN,2023-01-24 05:53:32
451,acapulco,16.8634,-99.8901,23.19,75,0,2.36,MX,2023-01-24 05:52:10
452,sakaiminato,35.55,133.2333,0.99,69,75,14.4,JP,2023-01-24 05:53:33
453,ambon,-3.6954,128.1814,32.08,62,40,6.69,ID,2023-01-24 05:53:33
454,havelock,34.8791,-76.9013,7.99,70,2,3.08,US,2023-01-24 05:53:33
455,khasan,42.4308,130.6434,-16.65,51,1,10.76,RU,2023-01-24 05:53:34
456,bodden town,19.2833,-81.25,25.52,85,37,6.68,KY,2023-01-24 05:53:34
457,bikaner,28.0167,73.3,18.14,37,13,4.3,IN,2023-01-24 05:49:30
458,emerald,-23.5333,148.1667,32.41,48,7,4.48,AU,2023-01-24 05:51:33
459,zyryanka,65.75,150.85,-31.45,97,100,0.98,RU,2023-01-24 05:53:34
460,tacuarembo,-31.7333,-55.9833,16.94,78,0,3.01,UY,2023-01-24 05:53:26
461,guadalupe victoria,32.2869,-115.105,9.97,30,0,4.34,MX,2023-01-24 05:53:35
462,marzuq,14.4,46.4667,20.18,45,23,0.66,YE,2023-01-24 05:53:35
463,port shepstone,-30.7414,30.455,25.73,60,5,5.33,ZA,2023-01-24 05:49:55
464,matay,28.419,30.7792,12.84,92,13,5.32,EG,2023-01-24 05:53:35
465,morondava,-20.2833,44.2833,25.07,94,100,11.06,MG,2023-01-24 05:53:36
466,sinnamary,5.3833,-52.95,23.99,83,13,5.22,GF,2023-01-24 05:53:36
467,kota bahru,6.1333,102.2386,28.97,83,40,3.6,MY,2023-01-24 05:53:36
468,zhangye,38.9342,100.4517,-6.93,16,54,5.18,CN,2023-01-24 05:53:36
469,samarai,-10.6167,150.6667,28.75,73,100,5.39,PG,2023-01-24 05:53:37
470,boca do acre,-8.7522,-67.3978,22.28,99,100,1.4,BR,2023-01-24 05:53:37
471,pevek,69.7008,170.3133,-27.61,80,71,1.4,RU,2023-01-24 05:53:37
472,kemijarvi,66.7131,27.4306,-2.37,96,93,3.24,FI,2023-01-24 05:53:38
473,baglan,36.1307,68.7083,0.06,66,81,1.08,AF,2023-01-24 05:53:38
474,shingu,33.7333,135.9833,4.08,67,49,10.97,JP,2023-01-24 05:53:35
475,san,13.3034,-4.8956,24.27,19,27,2.24,ML,2023-01-24 05:51:52
476,maroantsetra,-15.4333,49.7333,27.46,71,100,2.64,MG,2023-01-24 05:53:38
477,camacha,33.0833,-16.3333,13.68,67,40,5.14,PT,2023-01-24 05:53:39
478,vagamo,61.8751,9.0967,-6.91,96,84,0.32,NO,2023-01-24 05:53:39
479,pisco,-13.7,-76.2167,21.03,78,0,5.14,PE,2023-01-24 05:53:39
480,kedrovyy,56.1667,91.8167,-11.74,92,100,4.34,RU,2023-01-24 05:53:40
481,shimoda,34.6667,138.95,12.2,58,81,14.15,JP,2023-01-24 05:53:40
482,lasem,-6.6922,111.4527,29.26,72,88,3.09,ID,2023-01-24 05:53:40
483,cascais,38.6979,-9.4215,8.3,56,0,9.83,PT,2023-01-24 05:53:40
484,carballo,43.213,-8.691,8.81,85,28,4.08,ES,2023-01-24 05:53:41
485,ahuimanu,21.4447,-157.8378,25.42,84,75,0.45,US,2023-01-24 05:53:41
486,krasnoselkup,65.7,82.4667,-32.03,99,11,2.09,RU,2023-01-24 05:53:41
487,kuytun,54.3419,101.5036,-20.18,93,100,2.16,RU,2023-01-24 05:53:42
488,teya,60.3778,92.6267,-22.23,95,97,1.33,RU,2023-01-24 05:53:42
489,pacific grove,36.6177,-121.9166,7.72,73,0,4.12,US,2023-01-24 05:53:42
490,xuanhua,40.6103,115.0447,-12.73,17,0,4.63,CN,2023-01-24 05:53:43
491,kuching,1.55,110.3333,29.58,80,40,5.14,MY,2023-01-24 05:53:43
492,huarmey,-10.0681,-78.1522,21.01,81,99,2.71,PE,2023-01-24 05:53:43
493,shiyan,32.6475,110.7781,4.12,14,57,2.44,CN,2023-01-24 05:53:44
494,pareora,-44.4871,171.2132,16.77,80,100,3.7,NZ,2023-01-24 05:53:44
495,sostanj,46.38,15.0486,1.11,95,100,1.08,SI,2023-01-24 05:53:44
496,ilkal,15.9667,76.1333,26.92,48,50,6.41,IN,2023-01-24 05:53:44
497,itaituba,-4.2761,-55.9836,21.7,100,55,1.11,BR,2023-01-24 05:53:45
498,araouane,18.9048,-3.5265,17.5,16,0,4.46,ML,2023-01-24 05:53:45
499,santiago,-33.4569,-70.6483,21.59,51,0,4.12,CL,2023-01-24 05:42:30
500,shelburne,44.0787,-80.2041,-2.71,93,100,8.46,CA,2023-01-24 05:53:45
501,coahuayana,18.7333,-103.6833,19.3,88,24,1.82,MX,2023-01-24 05:53:46
502,gravdal,68.1214,13.5031,3.01,60,100,12.74,NO,2023-01-24 05:53:46
503,yakeshi,49.2833,120.7333,-28.97,89,66,4.7,CN,2023-01-24 05:53:46
504,moctezuma,29.8,-109.6667,3.29,43,13,1.21,MX,2023-01-24 05:53:47
505,kenai,60.5544,-151.2583,-1.59,96,100,2.57,US,2023-01-24 05:50:08
506,konstantinovka,49.6167,127.9833,-24.94,89,75,2.35,RU,2023-01-24 05:53:47
507,ewa beach,21.3156,-158.0072,25.55,75,100,3.58,US,2023-01-24 05:53:47
508,caslav,49.911,15.3897,2.3,92,100,3.13,CZ,2023-01-24 05:53:48
509,mamallapuram,12.6264,80.1722,29.03,59,81,5.15,IN,2023-01-24 05:53:48
510,lahat,-3.8,103.5333,28.96,64,100,1.89,ID,2023-01-24 05:53:48
511,oyon,-10.6681,-76.7731,7.56,88,99,1.82,PE,2023-01-24 05:53:48
512,murchison,-41.8,172.3333,22.44,46,54,1.49,NZ,2023-01-24 05:53:49
513,haines junction,60.7522,-137.5108,-6.41,99,90,1.83,CA,2023-01-24 05:53:49
514,rawson,-43.3002,-65.1023,25.72,30,1,6.73,AR,2023-01-24 05:51:04
515,manzanillo,20.3433,-77.1167,21.56,80,16,2.96,CU,2023-01-24 05:53:49
516,tokur,53.1333,132.9,-31.44,87,100,1.98,RU,2023-01-24 05:53:50
517,hanchuan,30.65,113.7667,4.06,15,26,6.34,CN,2023-01-24 05:53:50
518,kangaatsiaq,68.3065,-53.4641,-13.24,89,100,2.44,GL,2023-01-24 05:53:50
519,valparaiso,-33.0393,-71.6273,17.49,100,0,0.0,CL,2023-01-24 05:53:51
520,san ramon de la nueva oran,-23.1322,-64.326,23.01,85,71,1.12,AR,2023-01-24 05:50:47
521,nakhon phanom,17.3333,104.4167,27.82,34,2,7.7,TH,2023-01-24 05:53:51
522,rogers,36.3668,-95.5836,3.45,85,0,2.06,US,2023-01-24 05:53:51
523,bethanien,-26.502,17.1583,20.69,30,40,3.69,NA,2023-01-24 05:53:51
524,punta cardon,11.6581,-70.215,24.88,84,85,10.73,VE,2023-01-24 05:53:52
525,mackay,-21.15,149.2,30.38,71,6,4.47,AU,2023-01-24 05:53:52
526,labuan,5.2767,115.2417,29.2,79,40,1.03,MY,2023-01-24 05:53:52
527,chimoio,-19.1164,33.4833,21.77,90,99,1.54,MZ,2023-01-24 05:53:53
528,pasighat,28.0667,95.3333,24.71,27,100,1.84,IN,2023-01-24 05:53:53
529,belmonte,-15.8631,-38.8828,25.25,86,62,3.98,BR,2023-01-24 05:53:53
530,monrovia,6.3005,-10.7969,25.22,85,95,1.27,LR,2023-01-24 05:53:54
